video_id,title,category,category_name,duration_seconds,duration_minutes,views,likes,comments,published_at,like_view_ratio,comment_view_ratio,engagement_rate
hSuRasnDdCY,SILVY KUMALASARI || FULL ALBUM || EGO WONG TUO 🎵| TERBARU VERSI CAMPURSARI VIRAL🎵 TRENDING 2025,10,Music,4873,81.21666666666667,1566192,5383,270,2025-10-08T08:00:56Z,0.0034369987843125235,0.00017239265683900823,0.003609391441151532
W48DrkMdcSk,Geisha - Full Album Terbaik & Terpopuler -Jika Cinta Dia - Geisha,10,Music,2967,49.45,9191220,52499,2473,2024-05-11T23:00:22Z,0.005711864148611392,0.00026906112572650854,0.005980925274337901
A4WgT0QOXhs,THE WEEKND - SÃO PAULO LIVESTREAM,10,Music,5609,93.48333333333333,19306319,494740,13177,2024-09-08T01:48:39Z,0.02562580676306032,0.0006825226497086265,0.02630832941276895
DbfV7b-RAEY,The Highwaymen Live - American Outlaws | Full Concert,10,Music,9504,158.4,3128810,34383,1529,2025-07-30T13:00:33Z,0.01098916201367293,0.0004886841962279589,0.011477846209900888
lWA01RzCs08,David Guetta live @ Château de Chambord 2024,10,Music,6478,107.96666666666667,2210968,28522,954,2024-12-01T19:00:32Z,0.012900231934609638,0.0004314852137163451,0.013331717148325982
2gwUrukqEHk,Dua Lipa Radical Optimism Tour (Live in Liverpool 2025),10,Music,4738,78.96666666666667,1817350,10138,283,2025-06-27T15:00:06Z,0.005578452141854899,0.0001557212424684293,0.005734173384323328
UOwvmgjbwDo,Santana - Full Concert [HD] | Live at North Sea Jazz Festival 2004,10,Music,4617,76.95,3713984,24922,447,2024-05-18T16:00:32Z,0.006710314314762799,0.00012035593045096586,0.006830670245213765
nEPMpwefI-s,HAUSER - Classic Gala Concert LIVE at the Royal Albert Hall - FULL Concert,10,Music,7200,120.0,3311438,59513,7956,2024-08-23T18:00:06Z,0.017971950554411708,0.002402581597481215,0.020374532151892923
X1bx9_TL20A,The Cast of Buena Vista Social Club: Tiny Desk Concert,10,Music,1219,20.316666666666666,2825833,85646,2569,2025-05-27T09:00:47Z,0.030308231236594662,0.0009091124634753717,0.03121734370007003
swfe7h3yhd8,Scorpions - Live in Bremerhaven 1996 (Full Concert),10,Music,4939,82.31666666666666,2851955,0,1214,2024-09-13T16:00:07Z,0.0,0.00042567291559649433,0.00042567291559649433
0oIIRc0zc_U,Vulfpeck Live in France,10,Music,6498,108.3,1708734,38810,2263,2024-08-05T16:00:02Z,0.02271272181626865,0.001324372313069208,0.024037094129337862
hVH89ggy1fY,André Rieu live in Dublin (Full concert),10,Music,6847,114.11666666666666,3319846,27879,1377,2025-03-17T13:49:50Z,0.008397678687505385,0.00041477827585978383,0.008812456963365169
cMIJsoaxRjk,Justin Timberlake: Tiny Desk Concert,10,Music,1541,25.683333333333334,23741660,475207,18834,2024-03-15T16:00:06Z,0.020015744476165526,0.0007932890960446742,0.0208090335722102
ay1wB-2npMQ,TWICE Full Performance-Lollapalooza Chicago 2025,10,Music,5285,88.08333333333333,4617088,194271,6387,2025-08-09T03:00:03Z,0.042076520958664855,0.0013833394555182834,0.04345986041418314
bquQVe4zLhQ,Alejandro Sanz - Más Es Más El Concierto - FULL CONCERT HD,10,Music,8824,147.06666666666666,1650336,18659,1034,2025-04-11T20:00:06Z,0.011306182498594226,0.0006265390805266322,0.011932721579120857
kgq4AeUpafg,Sabrina Carpenter - Full Set (Live at Capital's Summertime Ball 2024) | Capital,10,Music,1525,25.416666666666668,4500904,64441,1201,2024-06-21T10:35:33Z,0.014317346026487123,0.0002668352846450402,0.014584181311132163
l5WgAr4B8Vo,"Stromae - Multitude, le film (Full concert)",10,Music,4040,67.33333333333333,3055682,107893,5125,2024-12-14T17:00:07Z,0.03530897521404387,0.001677203321549821,0.03698617853559369
VXG8QUW27ag,The best of André Rieu live in Maastricht (HD),10,Music,7905,131.75,6574537,61863,2690,2024-07-03T13:24:12Z,0.0094094838921737,0.00040915428721444565,0.009818638179388146
syKZdZJeqGU,40 FINGERS - A Guitar Night (Full Concert),10,Music,5665,94.41666666666667,1758917,28115,566,2024-08-21T12:00:06Z,0.015984267591932992,0.0003217889189768477,0.016306056510909838
7gIxbELSU8U,"Anh Trai ""Say Hi"" Concert Tập 1: Tua lại thời gian cùng 30 Anh Trai tại 4 đêm đại nhạc hội đỉnh cao",10,Music,6666,111.1,1779661,32738,1930,2025-04-12T13:00:06Z,0.01839563827043465,0.0010844762008045353,0.019480114471239186
8sHff8uCd1w,"Lakmé CC Cream से बहुत सुंदर सबसे सस्ता मेकअप"" ""बिना आइलेशेज.MakeupTutorial",26,How-to & Style,2151,35.85,1867268,27743,3032,2024-10-19T02:30:32Z,0.014857535179738528,0.0016237626307525218,0.016481297810491048
XIu-_kHArH8,मेकअप सीखो नोट्स के साथ|Learn how to do makeup| Makeup Notes.#shinewithpranoti #makeup,26,How-to & Style,2538,42.3,2172835,62377,5445,2025-04-16T05:05:15Z,0.02870765612667322,0.0025059426969834342,0.031213598823656652
